last_name,first_name,display_name,goals
Vidic,Nemanja,Nemanja Vidic,15
Wetherall,David,David Wetherall,15
Willock,Joe,Joe Willock,15
Zouma,Kurt,Kurt Zouma,15
Abou Diaby,Vassiriki,Abou Diaby,14
Alonso Olano,Xabier,Xabi Alonso,14
Bohinen,Lars,Lars Bohinen,14
Burley,Craig,Craig Burley,14
Campbell,Dudley,DJ Campbell,14
Cleverley,Tom,Tom Cleverley,14
de Souza,Robson,Robinho,14
Di Santo,Franco,Franco Di Santo,14
Doherty,Matt,Matt Doherty,14
Elanga,Anthony,Anthony Elanga,14
Evans,Jonny,Jonny Evans,14
Gómez,Geovanni Deiberson Maurício,Geovanni,14
Gómez García-Penche,Jordi,Jordi Gómez,14
Hadji,Mustapha,Mustapha Hadji,14
Hreidarsson,Hermann,Hermann Hreidarsson,14
Højlund,Rasmus,Rasmus Højlund,14
Krkíc Pérez,Bojan,Bojan,14
Lisbie,Kevin,Kevin Lisbie,14
Lomas,Steve,Steve Lomas,14
March,Solly,Solly March,14
Mee,Ben,Ben Mee,14
Moreira Marinho,David Luiz,David Luiz,14
Ndiaye,Iliman,Iliman Ndiaye,14
Nugent,David,David Nugent,14
Okazaki,Shinji,Shinji Okazaki,14
Okocha,Jay Jay,Jay Jay Okocha,14
Olise,Michael,Michael Olise,14
Ouattara,Dango,Dango Ouattara,14
Pennant,Jermaine,Jermaine Pennant,14
Pilkington,Anthony,Anthony Pilkington,14
Ralph Blumer,Elano,Elano,14
Redfearn,Neil,Neil Redfearn,14
Ripley,Stuart,Stuart Ripley,14
